frequency,anharmonicity
0.09376305584216765,0.20368735588991274
0.43505292011532926,0.9445648941449933
0.09290129894884185,0.20704152035872836
0.004209523604789514,0.009252876894334025
0.13167853059792953,0.29584463673844613
0.27209521408750276,0.5916796465757084
0.2690388938667341,0.5877510795347685
1.4341024022290703,3.10919931373056
1.487588722411391,3.2217617616426617
0.2511888865649168,0.5461459680254269
0.6566458310637016,1.4251946098396018
0.09304478312466682,0.20212987377553068
0.23891086147223378,0.5189957968311444
2.12729196594337,4.5927878771513715
2.776286264773741,6.005267705944399
2.5775446204584345,5.574375970545596
0.2472886115393702,0.5376574377828012
2.165790975941723,4.676467095797472
0.13113978537310367,0.29463803312421205
1.4269461223288573,3.0926221059166323
1.4090045093407135,3.0454921291137125
0.11052800224140284,0.24567075840814853
1.9954544338764029,4.308992721075422
1.420236069791069,3.0705949153077214
0.14632818668263975,0.31770346787285864
0.5522186705400803,1.199902608245811
0.6699092616214908,1.4539718110816369
0.43840901668204857,0.9518061496081637
1.2261754223670487,2.662133403389173
0.8574461024799781,1.8604171371094602
1.2257985857727343,2.6613272334311433
1.2114167341755875,2.6300748547812614
0.8962135616867468,1.9445916169687165
1.425010455962571,3.0765256192477537
0.1591398249338231,0.34556859323001127
1.4249121040356179,3.0808788050984495
1.3679643369066328,2.9533895843782387
0.29442954542844013,0.6510534376212861
0.8929930768963207,1.9376184035042436
0.4972624742668613,1.0843226970362263
0.06959471159246573,0.15117714240090735
0.28001882682865586,0.6171069252987725
1.581135565969759,3.414070210882646
1.4309690329576477,3.102127631882142
0.27934933809074924,0.6102201482555956
0.6517997117019332,1.4146655406451956
0.8841562101232554,1.9184067717858264
0.476789138595039,1.0397233195803204
0.10551218605845093,0.23450598041702098
1.4088763916102718,3.0452065918210462
1.487176163415383,3.2209349688936477
1.2182894625590006,2.64497476540761
1.1768786476467639,2.554299815728447
0.2828973117205599,0.6234615062106473
2.5765549294502534,5.5721967924417815
1.3689490857432745,2.9555848732510355
1.2137982413218293,2.6352097014910876
1.423951623845064,3.078744361203528
1.1807505244946381,2.5627161579183113
1.4655296917210676,3.1819466738146627
1.6881520849973783,3.643478557414268
1.224551744404577,2.658587993864158
1.6839200776263896,3.6343008968477877
0.1440203664155274,0.3256881850759905
1.4088306888478463,3.0451209760684734
0.1729417392501164,0.38857085129515123
1.4253253052682884,3.0817762963160984
0.09243159939932791,0.20078835461640518
0.26535995057212586,0.5842881732597845
1.367138793539963,2.951626353162676
0.26610923726068836,0.5859288206125436
0.14464065132107248,0.3140500105832774
2.595990945768881,5.614507298327041
0.8644024828510835,1.8755421122853964
1.4301227884867633,3.10014015598029
1.6825813842501574,3.6313894136733973
0.2747660658800819,0.6002211867850434
0.49512325139456115,1.0797002498834845
0.07830064573388419,0.17456110173901937
1.576311592185485,3.403686118498154
0.22721619182345193,0.503718900132403
2.7865598706456085,6.027848694581659
0.43745585432827294,0.9497811334465731
0.36801585659674907,0.8016175464104901
1.2109765583634604,2.6290632698980407
2.596940119001277,5.61655082055144
0.12914684605134322,0.28952360320566767
0.1587950413289027,0.3448112957806249
0.23993870070309525,0.5212029068667687
2.171463370245125,4.6894495306293305
0.49455847873478226,1.0784604777390854
1.2238473814752977,2.6570788143125115
1.4288609083358004,3.0968900800414674
0.2395186361863107,0.5207779767766242
